!4+ABv	  00000000000000000000000017F7E829  EEEE3333444411112222888833334444666633332222DDDDEEEE
  Z,dRjpW	  00000000000000000000000000D6D22A  88886666EEEEAAAA99994444111188889999AAAA7777DDDD7777
  Z;V5QzH	  000000000000000000000000187F40DC  333344442222888822228888555500000000EEEE999955555555
  Z<eSP;&	  0000000000000000000000003BB61DF4  1111EEEEDDDDCCCCBBBBFFFF1111CCCC000088884444DDDDDDDD
  ZAZ'uGY	  00000000000000000000000017A621CD  1111CCCC0000DDDD666611114444CCCCBBBB666655557777AAAA
  ZE7Ah1S	  0000000000000000000000000F35A641  7777EEEE11116666CCCC888877776666DDDD5555AAAA00006666
  ZHaRK,[	  0000000000000000000000003F5C9BF4  44447777FFFF0000DDDD3333AAAA999922226666EEEEDDDDDDDD
  ZIj4\]N	  00000000000000000000000018AA06FC  BBBB9999EEEEDDDD666699991111DDDD6666BBBB0000BBBB5555
  ZT0<(;$	  0000000000000000000000002B63F05D  FFFF0000FFFF666688885555777711113333555566666666AAAA
  ZXPV-)I	  0000000000000000000000001E2070DA  AAAAEEEE66668888AAAAAAAACCCC6666FFFFCCCCFFFFEEEE7777
  ZY:D^cd	  000000000000000000000000462D830A  555555554444DDDD00004444BBBB888866667777666677777777
  ZYN!X.G	  0000000000000000000000002978EDC6  BBBB7777111188887777BBBBFFFF11110000CCCCEEEECCCCBBBB
  Zbv_5?]	  000000000000000000000000472FF76E  DDDD55553333CCCC777766660000EEEE99990000CCCCCCCC3333
  Ze7mzxD	  00000000000000000000000037BE5718  00007777AAAA777700003333EEEE9999EEEE3333999900009999
  Zh d3)U	  00000000000000000000000031329038  33330000CCCC88889999333311119999BBBBCCCC777766669999
  ZpZwe!e	  00000000000000000000000020AD4532  CCCC5555FFFFCCCC5555AAAACCCC333333336666AAAA6666FFFF
  Zsq/ h_	  00000000000000000000000048EBD223  44446666111177776666DDDDDDDD22224444DDDD1111FFFFCCCC
  Zw+YO4f	  00000000000000000000000005AFEF49  1111777744445555222277775555AAAAAAAA7777CCCCBBBBEEEE
  Zy4>RJG	  000000000000000000000000356FBC24  00000000777777776666DDDD555533330000EEEEEEEEEEEEDDDD
  [#y3!c_	  0000000000000000000000001F2A7524  FFFF88881111AAAA222288881111EEEEFFFF66661111EEEEDDDD
  [/s$k/w	  0000000000000000000000001299C837  7777CCCC9999AAAA22225555777766662222DDDDCCCC44448888
  [5J[RK9	  0000000000000000000000002B7A0645  FFFFDDDDBBBB2222FFFF8888CCCC66660000AAAA0000CCCC2222
  [7nKrcW	  0000000000000000000000003B748409  55551111BBBBAAAA11110000555555559999EEEEDDDDFFFFEEEE
  [@GDq*z	  0000000000000000000000004AE2B5A1  999922225555999999990000DDDDFFFF2222EEEE1111AAAA6666
  [Bo9c+u	  0000000000000000000000000660CFE0  0000DDDDAAAA4444EEEEAAAA6666BBBB555599990000AAAA1111
  [E7**h(	  00000000000000000000000047DE2966  00008888AAAA5555CCCC555599995555999911113333AAAABBBB
  [KbMA`,	  0000000000000000000000001552C6C0  2222EEEE8888111133333333BBBB4444EEEE4444EEEE44441111
  [Kh(QBj	  0000000000000000000000000C92BEF3  5555BBBBDDDD9999666633332222555544448888CCCC2222CCCC
  [R8~e^N	  000000000000000000000000518F7937  CCCCDDDD7777AAAA999922228888777777778888BBBB44448888
